Sir Phoola,Nepathya,pwTfUhPSmHE
Ghar Ko Kura,Nepathya,eKkCoKtjC5M
Rato Ra Chandra Surya,Nepathya,z_gw3RFAba4
Koshi Ko Pani,Nepathya,1kqgPJAp8Z0
Sa Karnali,Nepathya,_VwbA3fAQg8
Bhedako Oon Jasto,Nepathya,x3Ei7bncEqI
Rama Rama,Nepathya,NxYsecULdM4
Maryo Piratile,Nepathya,BtF-f6LQgcc
Rangeen Chara,Nepathya,IYU6GOd-wb4
Jogale Huncha Bhet,Nepathya,VEQOlf6dQCU
Parelima,1974 AD,0Y4Kb35Df5k
Pahilo Junima,1974 AD,QIgmdN9ax2Q
Jati Maya,1974 AD,OFotUtyt5_M
Nepali Ho,1974 AD,GYzUD70z8SE
Timro Mayale,1974 AD,6V3DhgjfU9M
Hidda Hiddai,1974 AD,jQvEVFCGWmI
Sambodhan,1974 AD,McYHlAimoJw
Chudaina,1974 AD,ExwYtJ8-jlU
Samjhi Baschu,1974 AD,YJDBR6U97C0
Sanjha Ko Belama,1974 AD,vuGgf_7LDyU
Yo samjhine maan chha,Narayan Gopal,yuPL3IeIAC8
Malai Nasodha,Narayan Gopal,kevin_YYD5c
Timro Jasto Mutu,Narayan Gopal,WNAv3u7USak
Kehi mitho batagara,Narayan Gopal,NxieEoF-4vk
Maya Ta Maya Ho,Narayan Gopal,Qi31GA3CoGs
Mero Pyaro Okhaldhunga,Narayan Gopal,339OdQ5AvOw
Galti Hajar,Narayan Gopal,Sjp4FKv6caw
Timi Jun Raharle,Narayan Gopal,GBiNSEaNV_Y
Thamel Bazar,Kali Prasad Baskota,_359Bbb3-8E
Nira,Kali Prasad Baskota,7NSO_Hp1vAk
Jaalma,Kali Prasad Baskota,CPm-Zl-NZr8
Panchhi,Kali Prasad Baskota,-DLJ3sS_rig
Chahana Sakiyo,Kali Prasad Baskota,qOC5Lhmp31c
Resham Filili,Kali Prasad Baskota,cGzsuMU1jQQ
Orali Lageko,Ram Krishna Dhakal,dQUSIgJXgyI
Bachan Tode,Ram Krishna Dhakal,mWpjF-mLSYg
Bihana Uthne Bittikai,Ram Krishna Dhakal,M-GsHRxlwcc
Jindagile yasari dhoka diyo ki,Ram Krishna Dhakal,DrrhhK9hq8Q
Risauda Ni Aafnai,Ram Krishna Dhakal,xa2Xr9o_mIE
Mann Paraune Hajaar,Ram Krishna Dhakal,R4PvAbX8j0M
Hira Katne,Ram Krishna Dhakal,F68ERX4t9Ug
Yatra Rahechha Jindagi,Ram Krishna Dhakal,DZx1fcW1oHo
Phoola Ko Thunga,Tara Devi,6-kgmPhNHxY
Soche Jasto Hunna Jeevan,Tara Devi,KAwOz9yG-dc
Subhakamana Bhari,Tara Devi,raTtg5KN6gw
Aanshu Ra Suskera Ka,Tara Devi,W51-dy5KjEo
Timra Pauharuma,Tara Devi,NOEFMKMQ1gM
Nausaya Khola,Tara Devi,zyxtibhWPH4
Eklai Basda,Aruna Lama,Qn4p4rIViwY
Timi Eak Phool Hau,Aruna Lama,NBnXJeqcSSo
Hamra Saheb Ko,Aruna Lama,W1dx-OKXje4
Pohar Saal Khushi Fatda,Aruna Lama,2j7_9SMov44
Maanchha Sabai Euta Ragalka,Aruna Lama,VjTHqWdmehQ
